soc_code,bls_occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
53-6011,Bridge and Lock Tenders,3040,1.8,26.62,55370.0,0.6,13.51,18.58,27.74,33.47,36.23,28090.0,38640.0,57700.0,69620.0,75360.0,,
53-6021,Parking Attendants,137880,2.3,16.82,34990.0,0.5,13.0,14.41,16.9,18.11,21.42,27040.0,29960.0,35150.0,37670.0,44550.0,,
53-6031,Automotive and Watercraft Service Attendants,102010,1.8,17.68,36780.0,0.5,13.76,15.05,17.15,18.9,22.14,28630.0,31300.0,35670.0,39320.0,46060.0,,
53-6032,Aircraft Service Attendants,31300,3.3,20.83,43330.0,0.7,16.26,17.18,19.45,22.52,27.7,33830.0,35740.0,40450.0,46830.0,57610.0,,
53-6041,Traffic Technicians,7860,5.0,29.83,62050.0,1.1,18.79,22.33,28.41,36.47,40.93,39090.0,46440.0,59090.0,75850.0,85130.0,,
53-6051,Transportation Inspectors,24500,3.2,42.57,88540.0,1.7,19.39,28.26,44.28,52.35,66.67,40330.0,58780.0,92100.0,108890.0,138670.0,,
53-6061,Passenger Attendants,27110,4.7,18.18,37820.0,1.2,13.45,15.02,18.14,20.04,22.4,27970.0,31240.0,37720.0,41680.0,46590.0,,
53-6099,"Transportation Workers, All Other",13550,3.8,24.47,50890.0,1.2,15.91,18.39,21.95,29.04,38.24,33080.0,38240.0,45650.0,60400.0,79540.0,,
53-7011,Conveyor Operators and Tenders,22930,3.3,21.68,45080.0,0.6,17.39,18.35,20.39,23.33,28.59,36180.0,38180.0,42420.0,48530.0,59470.0,,
53-7021,Crane and Tower Operators,42890,2.8,34.68,72130.0,1.3,20.5,25.29,32.73,40.0,49.79,42640.0,52600.0,68080.0,83200.0,103570.0,,
53-7031,Dredge Operators,1040,20.1,26.98,56120.0,3.5,19.75,22.32,23.86,29.84,35.65,41080.0,46430.0,49640.0,62070.0,74140.0,,
53-7041,Hoist and Winch Operators,2600,8.3,32.55,67710.0,3.5,17.13,20.53,27.14,45.36,56.83,35640.0,42690.0,56450.0,94350.0,118210.0,,
53-7051,Industrial Truck and Tractor Operators,774420,0.7,23.25,48370.0,0.1,17.71,19.24,22.32,26.33,30.06,36840.0,40030.0,46420.0,54770.0,62520.0,,
53-7061,Cleaners of Vehicles and Equipment,380430,0.8,17.78,36980.0,0.2,13.17,14.62,17.23,19.73,22.89,27380.0,30420.0,35830.0,41040.0,47610.0,,
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2950280,0.4,20.32,42260.0,0.1,15.03,17.35,19.35,22.56,26.51,31270.0,36090.0,40240.0,46920.0,55140.0,,
53-7063,Machine Feeders and Offbearers,42330,1.7,20.99,43660.0,0.4,15.49,17.51,19.82,23.31,27.96,32220.0,36420.0,41220.0,48480.0,58160.0,,
53-7064,"Packers and Packagers, Hand",559820,0.9,18.05,37540.0,0.2,13.41,15.49,17.44,20.7,22.65,27890.0,32220.0,36280.0,43060.0,47100.0,,
53-7065,Stockers and Order Fillers,2833810,0.4,19.01,39540.0,0.1,14.48,16.56,17.95,21.47,23.68,30110.0,34450.0,37330.0,44650.0,49260.0,,
53-7071,Gas Compressor and Gas Pumping Station Operators,3510,13.3,35.87,74610.0,3.3,22.2,28.17,37.17,43.76,47.84,46180.0,58580.0,77320.0,91020.0,99510.0,,
53-7072,"Pump Operators, Except Wellhead Pumpers",9780,6.4,30.75,63960.0,2.2,18.95,22.86,29.7,37.12,44.14,39420.0,47560.0,61770.0,77210.0,91820.0,,
53-7073,Wellhead Pumpers,17990,7.5,33.83,70370.0,2.4,21.2,25.16,33.63,39.52,47.2,44100.0,52330.0,69960.0,82200.0,98170.0,,
53-7081,Refuse and Recyclable Material Collectors,147240,1.6,25.39,52820.0,0.5,16.15,18.79,23.89,29.82,36.49,33590.0,39080.0,49690.0,62020.0,75900.0,,
53-7121,"Tank Car, Truck, and Ship Loaders",10700,6.0,28.83,59970.0,1.4,18.97,22.26,28.3,33.69,39.98,39460.0,46300.0,58870.0,70060.0,83160.0,,
53-7199,"Material Moving Workers, All Other",23480,4.0,21.94,45640.0,1.0,16.5,17.59,20.1,24.14,30.2,34330.0,36600.0,41800.0,50220.0,62820.0,,
