soc_code,bls_occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",12460,5.4,27.28,56740.0,1.4,18.19,21.74,25.39,31.2,38.96,37840.0,45210.0,52800.0,64900.0,81030.0,,
51-4041,Machinists,287050,0.9,28.52,59320.0,0.2,18.85,22.87,28.24,32.55,38.47,39200.0,47570.0,58750.0,67700.0,80010.0,,
51-4051,Metal-Refining Furnace Operators and Tenders,16780,2.5,26.68,55490.0,0.4,18.85,22.15,26.17,30.2,35.81,39200.0,46080.0,54430.0,62810.0,74470.0,,
51-4052,"Pourers and Casters, Metal",4560,4.1,26.1,54290.0,0.7,18.5,21.73,24.91,29.67,34.63,38480.0,45190.0,51810.0,61700.0,72040.0,,
51-4061,"Model Makers, Metal and Plastic",2610,6.9,32.97,68570.0,2.2,19.12,22.77,30.45,41.7,47.6,39760.0,47360.0,63340.0,86740.0,99010.0,,
51-4062,"Patternmakers, Metal and Plastic",1470,6.8,29.14,60610.0,1.5,20.42,23.59,27.89,33.63,39.71,42460.0,49070.0,58000.0,69960.0,82590.0,,
51-4071,Foundry Mold and Coremakers,12790,3.1,23.97,49860.0,0.6,17.87,20.13,23.13,27.57,30.12,37160.0,41870.0,48110.0,57350.0,62640.0,,
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",150470,1.4,22.1,45960.0,0.3,16.43,17.92,21.32,24.53,29.62,34170.0,37270.0,44350.0,51020.0,61600.0,,
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",124590,1.6,24.05,50030.0,0.3,17.2,18.95,22.68,27.79,35.79,35780.0,39420.0,47180.0,57800.0,74450.0,,
51-4111,Tool and Die Makers,56930,1.9,32.14,66860.0,0.4,21.48,24.75,30.79,37.87,44.56,44680.0,51490.0,64050.0,78770.0,92680.0,,
51-4121,"Welders, Cutters, Solderers, and Brazers",416210,0.8,27.29,56760.0,0.2,18.87,22.5,25.84,30.29,37.28,39240.0,46790.0,53750.0,63010.0,77530.0,,
