model,profile_name,rank,onet_soc_code,soc_code,occupation_title,interest_score,skill_score,education_score,job_zone_score,labor_market_score,why
knn_minkowski,Business,5,13-1141.00,13-1141,"Compensation, Benefits, and Job Analysis Specialists",0.9714662579252865,0.35089477543300457,1.0,1.0,0.6446871987038916,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
weighted,Business,1,11-9199.10,11-9199,Wind Energy Development Managers,0.9719031400952605,0.41089014567628057,1.0,1.0,0.9309088868473923,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
weighted,Business,2,11-9111.00,11-9111,Medical and Health Services Managers,0.9873047139269213,0.4082025518387914,1.0,1.0,0.9038453909828741,"Strongest fit: Interests (Enterprising interest, 0.99); Education fit (1.00)."
weighted,Business,3,11-2022.00,11-2022,Sales Managers,0.9484210630569962,0.42742899125535105,1.0,1.0,0.9385700622753205,"Strongest fit: Interests (Enterprising interest, 0.95); Education fit (1.00)."
weighted,Business,4,11-3031.00,11-3031,Financial Managers,0.9674067849652171,0.3967239612087889,1.0,1.0,0.9520062057625351,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
weighted,Business,5,41-4011.00,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.9835205555266726,0.4418714009054159,1.0,1.0,0.8221837748432475,"Strongest fit: Interests (Enterprising interest, 0.98); Education fit (1.00)."
cosine,Creative Careers,1,27-3043.05,27-3043,"Poets, Lyricists and Creative Writers",0.9568527702775596,0.5276284548133622,1.0,1.0,0.5647859621471706,"Strongest fit: Interests (Artistic interest, 0.96); Skills (Writing, 0.53)."
cosine,Creative Careers,2,27-1011.00,27-1011,Art Directors,0.9707017424898963,0.36951736007865216,1.0,1.0,0.7144297040652389,"Strongest fit: Interests (Artistic interest, 0.97); Education fit (1.00)."
cosine,Creative Careers,3,27-2012.04,27-2012,Talent Directors,0.9243134412811272,0.3754044906596217,1.0,1.0,0.7141239512537063,"Strongest fit: Interests (Artistic interest, 0.92); Education fit (1.00)."
cosine,Creative Careers,4,25-1121.00,25-1121,"Art, Drama, and Music Teachers, Postsecondary",0.8807920753866207,0.4577339624246303,0.0,0.0,0.6322908276333492,"Strongest fit: Interests (Artistic interest, 0.88); Skills (Speaking, 0.46)."
cosine,Creative Careers,5,27-1024.00,27-1024,Graphic Designers,0.9454931158708298,0.4318080720537192,1.0,1.0,0.591483113388686,"Strongest fit: Interests (Artistic interest, 0.95); Education fit (1.00)."
knn_cosine,Creative Careers,1,27-3043.05,27-3043,"Poets, Lyricists and Creative Writers",0.9568527702775596,0.5276284548133622,1.0,1.0,0.5647859621471706,"Strongest fit: Interests (Artistic interest, 0.96); Skills (Writing, 0.53)."
knn_cosine,Creative Careers,2,27-1011.00,27-1011,Art Directors,0.9707017424898963,0.36951736007865216,1.0,1.0,0.7144297040652389,"Strongest fit: Interests (Artistic interest, 0.97); Education fit (1.00)."
knn_cosine,Creative Careers,3,27-2012.04,27-2012,Talent Directors,0.9243134412811272,0.3754044906596217,1.0,1.0,0.7141239512537063,"Strongest fit: Interests (Artistic interest, 0.92); Education fit (1.00)."
knn_cosine,Creative Careers,4,25-1121.00,25-1121,"Art, Drama, and Music Teachers, Postsecondary",0.8807920753866207,0.4577339624246303,0.0,0.0,0.6322908276333492,"Strongest fit: Interests (Artistic interest, 0.88); Skills (Speaking, 0.46)."
knn_cosine,Creative Careers,5,27-1024.00,27-1024,Graphic Designers,0.9454931158708298,0.4318080720537192,1.0,1.0,0.591483113388686,"Strongest fit: Interests (Artistic interest, 0.95); Education fit (1.00)."
knn_euclidean,Creative Careers,1,27-3043.05,27-3043,"Poets, Lyricists and Creative Writers",0.9568527702775596,0.5276284548133622,1.0,1.0,0.5647859621471706,"Strongest fit: Interests (Artistic interest, 0.96); Skills (Writing, 0.53)."
knn_euclidean,Creative Careers,2,27-2012.04,27-2012,Talent Directors,0.9243134412811272,0.3754044906596217,1.0,1.0,0.7141239512537063,"Strongest fit: Interests (Artistic interest, 0.92); Education fit (1.00)."
knn_euclidean,Creative Careers,3,27-1024.00,27-1024,Graphic Designers,0.9454931158708298,0.4318080720537192,1.0,1.0,0.591483113388686,"Strongest fit: Interests (Artistic interest, 0.95); Education fit (1.00)."
knn_euclidean,Creative Careers,4,27-3043.00,27-3043,Writers and Authors,0.9547223750930673,0.477423349870971,1.0,1.0,0.5647859621471706,"Strongest fit: Interests (Artistic interest, 0.95); Education fit (1.00)."
knn_euclidean,Creative Careers,5,27-1011.00,27-1011,Art Directors,0.9707017424898963,0.36951736007865216,1.0,1.0,0.7144297040652389,"Strongest fit: Interests (Artistic interest, 0.97); Education fit (1.00)."
knn_manhattan,Creative Careers,1,27-3043.05,27-3043,"Poets, Lyricists and Creative Writers",0.9568527702775596,0.5276284548133622,1.0,1.0,0.5647859621471706,"Strongest fit: Interests (Artistic interest, 0.96); Skills (Writing, 0.53)."
knn_manhattan,Creative Careers,2,27-3043.00,27-3043,Writers and Authors,0.9547223750930673,0.477423349870971,1.0,1.0,0.5647859621471706,"Strongest fit: Interests (Artistic interest, 0.95); Education fit (1.00)."
knn_manhattan,Creative Careers,3,27-1024.00,27-1024,Graphic Designers,0.9454931158708298,0.4318080720537192,1.0,1.0,0.591483113388686,"Strongest fit: Interests (Artistic interest, 0.95); Education fit (1.00)."
knn_manhattan,Creative Careers,4,27-3091.00,27-3091,Interpreters and Translators,0.8387600817680361,0.4653786568738878,1.0,1.0,0.4554425959708985,"Strongest fit: Interests (Artistic interest, 0.84); Education fit (1.00)."
knn_manhattan,Creative Careers,5,27-2012.04,27-2012,Talent Directors,0.9243134412811272,0.3754044906596217,1.0,1.0,0.7141239512537063,"Strongest fit: Interests (Artistic interest, 0.92); Education fit (1.00)."
knn_minkowski,Creative Careers,1,27-3043.05,27-3043,"Poets, Lyricists and Creative Writers",0.9568527702775596,0.5276284548133622,1.0,1.0,0.5647859621471706,"Strongest fit: Interests (Artistic interest, 0.96); Skills (Writing, 0.53)."
knn_minkowski,Creative Careers,2,27-2012.04,27-2012,Talent Directors,0.9243134412811272,0.3754044906596217,1.0,1.0,0.7141239512537063,"Strongest fit: Interests (Artistic interest, 0.92); Education fit (1.00)."
knn_minkowski,Creative Careers,3,27-1011.00,27-1011,Art Directors,0.9707017424898963,0.36951736007865216,1.0,1.0,0.7144297040652389,"Strongest fit: Interests (Artistic interest, 0.97); Education fit (1.00)."
knn_minkowski,Creative Careers,4,27-1024.00,27-1024,Graphic Designers,0.9454931158708298,0.4318080720537192,1.0,1.0,0.591483113388686,"Strongest fit: Interests (Artistic interest, 0.95); Education fit (1.00)."
knn_minkowski,Creative Careers,5,15-1255.01,15-1255,Video Game Designers,0.9347746979541844,0.40434523257825894,1.0,1.0,0.7518657561204987,"Strongest fit: Interests (Artistic interest, 0.93); Education fit (1.00)."
weighted,Creative Careers,1,27-3043.05,27-3043,"Poets, Lyricists and Creative Writers",0.9568527702775596,0.5276284548133622,1.0,1.0,0.5647859621471706,"Strongest fit: Interests (Artistic interest, 0.96); Skills (Writing, 0.53)."
weighted,Creative Careers,2,15-1255.01,15-1255,Video Game Designers,0.9347746979541844,0.40434523257825894,1.0,1.0,0.7518657561204987,"Strongest fit: Interests (Artistic interest, 0.93); Education fit (1.00)."
weighted,Creative Careers,3,27-3043.00,27-3043,Writers and Authors,0.9547223750930673,0.477423349870971,1.0,1.0,0.5647859621471706,"Strongest fit: Interests (Artistic interest, 0.95); Education fit (1.00)."
weighted,Creative Careers,4,27-1011.00,27-1011,Art Directors,0.9707017424898963,0.36951736007865216,1.0,1.0,0.7144297040652389,"Strongest fit: Interests (Artistic interest, 0.97); Education fit (1.00)."
